country,continent,region,year08,year17,Increase/Decrease
Airport Shops Portugal,Europe,Southern Europe,2004,NA,NA
Algeria,Africa,Northern Africa,NA,9280,NA
All countries,World,World,373522188,377733498,4211310
Andorra,Europe,Southern Europe,508562,229576,-278986
Angola,Africa,Middle Africa,791795,128894,-662901
Antigua,North America,Caribbean,6010,NA,NA
Argentina,South America,South America,28765,25266,-3499
Armenia,Asia,Western Asia,NA,3166,NA
Aruba,North America,Caribbean,2408,177,-2231
Australia,Oceania,Australia and New Zealand,307938,596440,288502
Austria,Europe,Western Europe,827693,1175396,347703
Azerbaijan,Asia,Western Asia,NA,3893,NA
Bahamas,North America,Caribbean,15011,NA,NA
Bahrain,Asia,Western Asia,622,4485,3863
Barbados,North America,Caribbean,7926,NA,NA
Belarus,Europe,Eastern Europe,10680,117285,106605
Belgium,Europe,Western Europe,40095726,28624952,-11470774
Benin,Africa,Western Africa,90,NA,NA
Bermuda,North America,Caribbean,101098,64902,-36196
Bolivia,South America,South America,14687,2028,-12659
Bosnia Herzegovina,Europe,Southern Europe,8199,6435,-1764
Brazil,South America,South America,4407580,2831531,-1576049
Bulgaria,Europe,Eastern Europe,13851,37270,23419
Cambodia,Asia,South-Eastern Asia,4882,NA,NA
Canada,North America,Northern America,15034074,12225121,-2808953
Cape Verde,Africa,Western Africa,37960,11756,-26204
Cayman Islands,North America,Caribbean,24403,19197,-5206
Chile,South America,South America,20926,36369,15443
China,Asia,Eastern Asia,152832,1409325,1256493
Colombia,South America,South America,6240,25863,19623
Congo,Africa,Middle Africa,4453,3163,-1290
Costa Rica,North America,Central America,21531,45214,23683
Cote d'Ivoire,Africa,Western Africa,28995,118253,89258
Croatia,Europe,Southern Europe,21516,21214,-302
Cuba,North America,Caribbean,8880,NA,NA
Curacao,North America,Caribbean,NA,42355,NA
Cyprus,Asia,Western Asia,20991,37232,16241
Czech Republic,Europe,Eastern Europe,1588644,1313082,-275562
Denmark,Europe,Northern Europe,6010951,13428571,7417620
Dominican Republic,North America,Caribbean,39961,50750,10789
East Timor,Asia,South-Eastern Asia,10732,12774,2042
Ecuador,South America,South America,8980,53906,44926
Estonia,Europe,Northern Europe,85029,220464,135435
Fiji,Oceania,Melanesia,NA,4326,NA
Finland,Europe,Northern Europe,987581,924565,-63016
France,Europe,Western Europe,86472136,70932244,-15539892
Gabon,Africa,Middle Africa,NA,864,NA
Germany,Europe,Western Europe,16453309,12703100,-3750209
Ghana,Africa,Western Africa,2730,NA,NA
Gibraltar,Europe,Southern Europe,30731,27026,-3705
Greece,Europe,Southern Europe,493082,173121,-319961
Guadeloupe,North America,Caribbean,6914,9046,2132
Guam,Oceania,Micronesia,NA,2102,NA
Guatemala,North America,Central America,1736,20505,18769
Guinea Bissau,Africa,Western Africa,784,775,-9
Haiti,North America,Caribbean,6485,1242,-5243
Hong Kong,Asia,Eastern Asia,462620,643412,180792
Hungary,Europe,Eastern Europe,135517,50515,-85002
Iceland,Europe,Northern Europe,113328,229602,116274
India,Asia,Southern Asia,1968,10478,8510
Indonesia,Asia,South-Eastern Asia,14708,44157,29449
Ireland,Europe,Northern Europe,2245504,1437729,-807775
Israel,Asia,Western Asia,33629,138675,105046
Italy,Europe,Southern Europe,3278541,2534924,-743617
Japan,Asia,eastern asia,1663833,851220,-812613
Jordan,Asia,Western Asia,NA,1690,NA
Kazakhstan,Asia,Central Asia,29390,10429,-18961
Kenya,Africa,Eastern Africa,2539,33865,31326
Laos,Asia,South-Eastern Asia,494,450,-44
Latvia,Europe,Northern Europe,264296,286182,21886
Lebanon,Asia,Western Asia,16119,9254,-6865
Liechtenstein,Europe,Western Europe,6492,21192,14700
Lithuania,Europe,Northern Europe,67602,252175,184573
Luxembourg,Europe,Western Europe,958412,1098198,139786
Macao,Asia,eastern asia,203071,249940,46869
Malaysia,Asia,South-Eastern Asia,53436,70609,17173
Maldives Islands,Asia,Southern Asia,NA,5576,NA
Malta,Europe,Southern Europe,111212,120692,9480
Mauritius Islands,Africa,Eastern Africa,4473,2315,-2158
Mexico,North America,Central America,731005,791685,60680
Morocco,Africa,Northern Africa,47410,23075,-24335
Mozambique,Africa,Eastern Africa,44171,85572,41401
Namibia,Africa,Southern Africa,720,12974,12254
Nepal,Asia,Southern Asia,NA,25233,NA
Netherlands,Europe,Western Europe,48049647,42118311,-5931336
Netherlands Antilles,North America,Caribbean,67623,NA,NA
New Caledonia,Oceania,Melanesia,40,NA,NA
New Zealand,Oceania,Australia and New Zealand,432764,760459,327695
Nigeria,Africa,Northern Europe,NA,16650,NA
Norway,Europe,Northern Europe,1042842,1328368,285526
Panama,North America,Central America,74155,21173,-52982
Paraguay,South America,South America,111508,245745,134237
Peru,South America,South America,17787,35829,18042
Philippines,Asia,South-Eastern Asia,23364,16693,-6671
Poland,Europe,Eastern Europe,935698,2227178,1291480
Portugal,Europe,Southern Europe,59392977,73710043,14317066
Qatar,Asia,Western Asia,44319,32178,-12141
Romania,Europe,Eastern Europe,84447,127978,43531
Russia,Europe,Eastern Europe,836948,2421770,1584822
Saint Martin,North America,Caribbean,NA,440,NA
São Tomé and Príncipe,Africa,Middle Africa,3125,931,-2194
Serbia,Europe,Southern Europe,NA,9286,NA
Serbia and Montenegro,Europe,Southern Europe,9290,NA,NA
Sierra Leone,Africa,Western Africa,1777,NA,NA
Singapore,Asia,South-Eastern Asia,412908,1107408,694500
Slovakia,Europe,Eastern Europe,32275,58568,26293
Slovenia,Europe,Southern Europe,61963,42960,-19003
South Africa,Africa,Southern Africa,127989,126803,-1186
South Korea,Asia,Eastern Asia,175669,433588,257919
Spain,Europe,Southern Europe,5354625,5015209,-339416
Sri Lanka,Asia,Southern Asia,NA,4558,NA
Swaziland,Africa,Southern Africa,14640,NA,NA
Sweden,Europe,Northern Europe,1914784,1727487,-187297
Switzerland,Europe,Western Europe,4186378,3605616,-580762
Taiwan,Asia,eastern asia,98436,245052,146616
Tanzania,Africa,Eastern Africa,NA,6780,NA
Thailand,Asia,South-Eastern Asia,33575,56530,22955
Trinidad and Tobago,North America,Caribbean,36844,77734,40890
Turkey,Asia,Western Asia,10143,91552,81409
Ukraine,Europe,Eastern Europe,51791,250691,198900
United Arab Emirates,Asia,Western Asia,272534,1913233,1640699
United Kingdom,Europe,Northern Europe,39386675,49520315,10133640
Uruguay,South America,South America,74331,81420,7089
USA,North America,Northern America,24683194,33465836,8782642
Venezuela,South America,South America,216872,39539,-177333
Vietnam,Asia,South-Eastern Asia,19650,11072,-8578
Zambia,Africa,Eastern Africa,NA,2200,NA
