"","Country","2006 €","2013 €","Change %"
"1","Bahamas",21943,3779,-82.78
"2","Antígua",7774,1448,-81.37
"3","Grécia",573952,107593,-81.25
"4","Venezuela",643586,182009,-71.72
"5","Africa do Sul",129275,48320,-62.62
"6","Hungria",154470,63217,-59.07
"7","Malásia",118467,52145,-55.98
"8","India",35779,16144,-54.88
"9","Irlanda",2758822,1425161,-48.34
"10","Gibraltar",33248,17225,-48.19
"11","Panamá",42938,22364,-47.92
"12","Andorra",489757,282684,-42.28
"13","República Checa",1136286,673692,-40.71
"14","Croácia",8543,5151,-39.71
"15","Costa do Marfim",71811,45023,-37.3
"16","Itália",4019537,2622050,-34.77
"17","Costa Rica",24673,17344,-29.7
"18","Bermudas",107369,75618,-29.57
"19","Israel",50235,35522,-29.29
"20","Tailândia",44227,33693,-23.82
"21","Suazilandia",8568,6563,-23.4
"22","Malta",136924,105192,-23.17
"23","Espanha",5862014,4567508,-22.08
"24","Bélgica",40652850,32593732,-19.82
"25","Argentina",27302,22058,-19.21
"26","Luxemburgo",1152033,979947,-14.94
"27","Portugal",63304299,53998094,-14.7
"28","EUA",34431275,29664646,-13.84
"29","Suiça",4105826,3578048,-12.85
"30","Congo",5242,4579,-12.65
"31","Holanda",47800558,42209138,-11.7
"32","México",962347,855325,-11.12
"33","Cayman",44932,39976,-11.03
"34","Canadá",16781766,15068851,-10.21
"35","Libano",3832,3477,-9.26
"36","França",85399991,78891216,-7.62
"37","TOTAIS",392815430,365019794,-7.08
"38","Japão",1636502,1551889,-5.17
"39","Ilhas Maurícias",4176,4041,-3.23
"40","Reino Unido",49376241,49802324,0.86
"41","Dinamarca",6973153,7148362,2.51
"42","Chipre",28171,28977,2.86
"43","Nova Zelândia",629570,676030,7.38
"44","Islandia",138736,149520,7.77
"45","Brasil",3433554,3788789,10.35
"46","Vietnam",11042,12340,11.76
"47","Peru",9360,10744,14.79
"48","Noruega",1069832,1235967,15.53
"49","Alemanha",10574475,12402285,17.29
"50","Marrocos",21033,25291,20.24
"51","Finlandia",884021,1076586,21.78
"52","Timor",8333,10367,24.41
"53","Austria",664115,834053,25.59
"54","Antilhas Holandesas",57067,71914,26.02
"55","Equador",36402,47762,31.21
"56","Colómbia",27075,39309,45.19
"57","Ghana",1397,2196,57.19
"58","Singapura",470925,749657,59.19
"59","S. Tomé e Príncipe",216,350,62.04
"60","Suécia",1937050,3374551,74.21
"61","Cuba",3493,6106,74.81
"62","Paraguai",63176,116147,83.85
"63","Estónia",76215,146500,92.22
"64","Camboja",980,1935,97.45
"65","Cabo Verde",14926,29981,100.86
"66","Taiwan",101867,204652,100.9
"67","Coreia do Sul",57725,126417,119
"68","Moçambique",44515,97636,119.33
"69","Republica Dominicana",22004,48829,121.91
"70","Bahrein",1372,3192,132.65
"71","Hong Kong",354309,871849,146.07
"72","Guatemala",5640,14574,158.4
"73","Angola",395308,1069291,170.5
"74","Guadeloupe",4817,13102,172
"75","Eslóvenia",10003,28803,187.94
"76","Uruguai",52542,151300,187.96
"77","Letónia",140016,405214,189.41
"78","Filipinas",8845,28076,217.42
"79","Nigéria",352,1124,219.32
"80","Russia",768464,2480933,222.84
"81","Macau",241787,910808,276.7
"82","Trinidad/Ind.Ociden.",25702,96895,276.99
"83","Bulgária",9328,35558,281.2
"84","Polónia",579848,2392509,312.61
"85","Chile",6469,32301,399.32
"86","Roménia",13158,68391,419.77
"87","Emir. Arabes Unidos",120854,672479,456.44
"88","Turquia",8059,47202,485.71
"89","Ucrania",28569,170433,496.57
"90","Lituania",33131,200400,504.87
"91","Austrália",111590,890186,697.73
"92","Eslováquia",7391,61040,725.87
"93","China",114891,1880886,1537.1
"94","Cazaquistão",3437,56874,1554.76
"95","Liechtenstein",780,30200,3771.79
"96","Catar",3917,203277,5089.61
