wine,year,Region,Litres
Douro Wine DOC,2017,Lower Corgo,21863143
Sparkling,2017,Lower Corgo,9e3
Douro Wine not DOC,2017,Lower Corgo,164048
Moscatel,2017,Lower Corgo,74479
Table Wine,2017,Lower Corgo,2918515
Port,2017,Lower Corgo,31231215
TOTAL,2017,Lower Corgo,56260400
Douro Wine DOC,2016,Lower Corgo,14068462
Sparkling,2016,Lower Corgo,33500
Douro Wine not DOC,2016,Lower Corgo,115873
Moscatel,2016,Lower Corgo,133e3
Table Wine,2016,Lower Corgo,1942059
Port,2016,Lower Corgo,29545686
TOTAL,2016,Lower Corgo,45838580
Douro Wine DOC,2015,Lower Corgo,21705268
Sparkling,2015,Lower Corgo,100576
Douro Wine not DOC,2015,Lower Corgo,714338
Moscatel,2015,Lower Corgo,89564
Table Wine,2015,Lower Corgo,8742311
Port,2015,Lower Corgo,29138017
TOTAL,2015,Lower Corgo,60490074
Douro Wine DOC,2014,Lower Corgo,15244922
Sparkling,2014,Lower Corgo,129294
Douro Wine not DOC,2014,Lower Corgo,51837
Moscatel,2014,Lower Corgo,79590
Table Wine,2014,Lower Corgo,5627735
Port,2014,Lower Corgo,27253920
TOTAL,2014,Lower Corgo,48387298
Douro Wine DOC,2013,Lower Corgo,19216296
Sparkling,2013,Lower Corgo,108822
Douro Wine not DOC,2013,Lower Corgo,796562
Moscatel,2013,Lower Corgo,136031
Table Wine,2013,Lower Corgo,9098984
Port,2013,Lower Corgo,24979556
TOTAL,2013,Lower Corgo,54336251
Douro Wine DOC,2012,Lower Corgo,14754834
Sparkling,2012,Lower Corgo,119744
Douro Wine not DOC,2012,Lower Corgo,1108106
Moscatel,2012,Lower Corgo,23250
Table Wine,2012,Lower Corgo,11732434
Port,2012,Lower Corgo,24895964
TOTAL,2012,Lower Corgo,52634332
Douro Wine DOC,2011,Lower Corgo,12418978
Sparkling,2011,Lower Corgo,150789
Douro Wine not DOC,2011,Lower Corgo,1090771
Moscatel,2011,Lower Corgo,106599
Table Wine,2011,Lower Corgo,10124591
Port,2011,Lower Corgo,19492542
TOTAL,2011,Lower Corgo,43384270
Douro Wine DOC,2010,Lower Corgo,16848615
Sparkling,2010,Lower Corgo,68323
Douro Wine not DOC,2010,Lower Corgo,2114903
Moscatel,2010,Lower Corgo,52597
Table Wine,2010,Lower Corgo,13745246
Port,2010,Lower Corgo,28064843
TOTAL,2010,Lower Corgo,60894527
Douro Wine DOC,2009,Lower Corgo,12869273
Sparkling,2009,Lower Corgo,139615
Douro Wine not DOC,2009,Lower Corgo,727745
Moscatel,2009,Lower Corgo,51330
Table Wine,2009,Lower Corgo,7736130
Port,2009,Lower Corgo,31097235
TOTAL,2009,Lower Corgo,52621328
Douro Wine DOC,2008,Lower Corgo,9816817
Sparkling,2008,Lower Corgo,74140
