"","Country","Porto","Sales.Euros","percent.euro"
"1","Alemanha","Branco",944845,10.33
"2","Alemanha","Tawny",6692932,73.2
"3","Alemanha","Ruby",1438363,15.73
"4","Alemanha","Rosé",67712,0.74
"5","Bélgica","Branco",7233929,26.82
"6","Bélgica","Tawny",8315341,30.83
"7","Bélgica","Ruby",11238628,41.66
"8","Bélgica","Rosé",186240,0.69
"9","Canadá","Branco",763291,33.23
"10","Canadá","Tawny",950447,41.37
"11","Canadá","Ruby",558947,24.33
"12","Canadá","Rosé",24586,1.07
"13","Dinamarca","Branco",527953,20.9
"14","Dinamarca","Tawny",1093442,43.29
"15","Dinamarca","Ruby",839403,33.23
"16","Dinamarca","Rosé",65040,2.57
"17","Espanha","Branco",416295,10.9
"18","Espanha","Tawny",2430220,63.61
"19","Espanha","Ruby",955676,25.01
"20","Espanha","Rosé",18246,0.48
"21","EUA","Branco",342797,5.24
"22","EUA","Tawny",3040755,46.46
"23","EUA","Ruby",3139812,47.98
"24","EUA","Rosé",21251,0.32
"25","França","Branco",10687757,16.44
"26","França","Tawny",46909825,72.16
"27","França","Ruby",5923091,9.11
"28","França","Rosé",1485911,2.29
"29","Holanda","Branco",4181379,12.74
"30","Holanda","Tawny",6587203,20.07
"31","Holanda","Ruby",21393076,65.2
"32","Holanda","Rosé",651890,1.99
"33","Portugal","Branco",8655813,26.43
"34","Portugal","Tawny",19479739,59.48
"35","Portugal","Ruby",4177464,12.76
"36","Portugal","Rosé",435347,1.33
"37","ReinoUnido","Branco",414750,3.22
"38","ReinoUnido","Tawny",1180998,9.16
"39","ReinoUnido","Ruby",11114242,86.22
"40","ReinoUnido","Rosé",181162,1.41
"41","TOTAIS","Branco",34168810,17.54
"42","TOTAIS","Tawny",96680901,49.64
"43","TOTAIS","Ruby",60778702,31.21
"44","TOTAIS","Rosé",3137384,1.61
