21 - Wine sales;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Period;;;2007;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2008;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2009;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2010;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2011;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Wine;;;Porto;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Porto;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Porto;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Porto;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Porto;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Type;;;Porto Branco;;;Porto Tawny;;;Porto Ruby;;;Porto Rosé;;;Porto Vintage;;;Porto LBV;;;Porto Colheitas;;;Porto com Indicação de Idade;;;Porto Reserva;;;Porto Reserva Tawny;;;Porto Crusted;;;Porto Branco;;;Porto Tawny;;;Porto Ruby;;;Porto Rosé;;;Porto Vintage;;;Porto LBV;;;Porto Colheitas;;;Porto com Indicação de Idade;;;Porto Reserva;;;Porto Reserva Tawny;;;Porto Crusted;;;Porto Branco;;;Porto Tawny;;;Porto Ruby;;;Porto Rosé;;;Porto Vintage;;;Porto LBV;;;Porto Colheitas;;;Porto com Indicação de Idade;;;Porto Reserva;;;Porto Reserva Tawny;;;Porto Crusted;;;Porto Branco;;;Porto Tawny;;;Porto Ruby;;;Porto Rosé;;;Porto Vintage;;;Porto LBV;;;Porto Colheitas;;;Porto com Indicação de Idade;;;Porto Reserva;;;Porto Reserva Tawny;;;Porto Crusted;;;Porto Branco;;;Porto Tawny;;;Porto Ruby;;;Porto Rosé;;;Porto Vintage;;;Porto LBV;;;Porto Colheitas;;;Porto com Indicação de Idade;;;Porto Reserva;;;Porto Reserva Tawny;;;Porto Crusted;;
country;continent;region;Litros;€;€/l;Litros;€;€/l;Litros;€;€/l;Litros;€;€/l;Litros;€;€/l;Litros;€;€/l;Litros;€;€/l;Litros;€;€/l;Litros;€;€/l;Litros;€;€/l;Litros;€;€/l;Litros;€;€/l;Litros;€;€/l;Litros;€;€/l;Litros;€;€/l;Litros;€;€/l;Litros;€;€/l;Litros;€;€/l;Litros;€;€/l;Litros;€;€/l;Litros;€;€/l;Litros;€;€/l;Litros;€;€/l;Litros;€;€/l;Litros;€;€/l;Litros;€;€/l;Litros;€;€/l;Litros;€;€/l;Litros;€;€/l;Litros;€;€/l;Litros;€;€/l;Litros;€;€/l;Litros;€;€/l;Litros;€;€/l;Litros;€;€/l;Litros;€;€/l;Litros;€;€/l;Litros;€;€/l;Litros;€;€/l;Litros;€;€/l;Litros;€;€/l;Litros;€;€/l;Litros;€;€/l;Litros;€;€/l;Litros;€;€/l;Litros;€;€/l;Litros;€;€/l;Litros;€;€/l;Litros;€;€/l;Litros;€;€/l;Litros;€;€/l;Litros;€;€/l;Litros;€;€/l;Litros;€;€/l;Litros;€;€/l
South Africa;Africa;Southern Africa;3.623;15.391;4,25;5.180;20.858;4,03;8.303;29.650;3,57;---;---;---;---;---;---;518;4.104;7,93;14;268;19,87;1.013;9.867;9,75;1.413;6.579;4,66;---;---;---;---;---;---;3.151;14.308;4,54;5.716;23.044;4,03;8.235;32.592;3,96;---;---;---;35;486;13,79;471;3.763;7,99;11;0;---;1.871;40.916;21,87;2.250;12.878;5,72;1;2;2;---;---;---;2.543;9.970;3,92;5.198;20.301;3,91;5.981;23.462;3,92;225;960;4,27;122;3.136;25,81;956;7.078;7,4;---;---;---;2.016;25.104;12,45;1.530;7.115;4,65;---;---;---;---;---;---;1.373;6.990;5,09;2.016;10.034;4,98;1.503;7.293;4,85;450;1.920;4,27;21;0;---;323;2.656;8,24;3;0;---;---;---;---;1.026;7.408;7,22;---;---;---;---;---;---;2.588;9.788;3,78;4.275;17.454;4,08;4.779;20.077;4,2;225;960;4,27;5;57;10,8;270;2.280;8,44;---;---;---;2.477;39.130;15,8;1.917;12.270;6,4;113;938;8,33;---;---;---
Germany;Europe;Western Europe;254.794;967.099;3,8;1.943.283;6.441.395;3,31;1.109.507;3.301.137;2,98;---;---;---;9.425;221.316;23,48;117.483;692.210;5,89;3.594;72.854;20,27;131.590;1.204.669;9,15;138.833;652.250;4,7;15.022;97.749;6,51;558;4.410;7,9;411.849;1.390.696;3,38;2.280.222;7.840.284;3,44;1.015.308;2.938.561;2,89;720;4.320;6;11.458;222.589;19,43;148.072;891.609;6,02;2.521;48.142;19,09;291.828;2.273.270;7,79;114.278;674.917;5,91;24.686;167.386;6,78;207;1.534;7,41;220.748;804.149;3,64;2.222.360;7.715.984;3,47;1.495.221;4.268.440;2,85;108.113;398.373;3,68;17.421;405.961;23,3;97.942;569.203;5,81;1.949;41.630;21,36;69.721;771.437;11,06;143.006;671.787;4,7;34.205;216.573;6,33;77;543;7,09;254.362;952.170;3,74;2.008.349;6.937.654;3,45;706.365;2.088.057;2,96;81.327;291.946;3,59;8.384;185.008;22,07;126.801;736.836;5,81;2.271;58.942;25,95;69.565;766.234;11,01;71.147;399.474;5,61;106.737;501.235;4,7;52;376;7,27;296.800;1.099.881;3,71;2.142.607;6.976.623;3,26;311.502;1.037.539;3,33;68.660;288.504;4,2;7.065;189.625;26,84;123.772;747.860;6,04;2.940;75.050;25,53;54.974;739.961;13,46;76.466;439.423;5,75;69.341;350.811;5,06;176;1.439;8,2
Andorra;Europe;Southern Europe;24.373;93.834;3,85;57.362;207.815;3,62;20.566;77.867;3,79;---;---;---;217;4.257;19,64;383;2.880;7,53;135;2.800;20,74;1.115;17.089;15,32;2.154;14.766;6,85;1.211;8.609;7,11;---;---;---;27.368;106.287;3,88;67.674;246.767;3,65;31.407;112.659;3,59;---;---;---;56;1.338;24,1;224;1.871;8,35;23;585;26;1.142;9.205;8,06;2.792;16.387;5,87;1.868;13.465;7,21;---;---;---;19.076;83.195;4,36;47.650;180.871;3,8;15.479;63.935;4,13;513;1.505;2,93;108;3.078;28,5;563;4.749;8,44;23;275;12,22;1.269;15.748;12,41;1.056;7.292;6,9;1.400;9.335;6,67;---;---;---;21.945;96.023;4,38;57.797;217.160;3,76;26.044;102.410;3,93;567;4.170;7,35;---;---;---;207;1.622;7,84;117;1.378;11,78;1.053;12.692;12,05;2.696;18.411;6,83;1.499;10.623;7,09;---;---;---;21.603;85.172;3,94;50.723;194.617;3,84;19.487;73.026;3,75;135;500;3,71;14;690;51,11;135;1.197;8,87;---;---;---;752;9.183;12,22;897;6.137;6,84;2.030;14.597;7,19;---;---;---
Angola;Africa;Middle Africa;15.239;63.392;4,16;83.066;314.444;3,79;15.361;62.703;4,08;---;---;---;1.359;27.333;20,11;1.497;10.806;7,22;---;---;---;8.448;124.590;14,75;3.986;30.323;7,61;6.297;53.067;8,43;---;---;---;11.026;51.739;4,69;94.493;331.177;3,5;4.987;22.271;4,47;---;---;---;3.530;90.643;25,68;2.820;21.575;7,65;1.337;24.002;17,96;9.595;169.995;17,72;3.033;28.938;9,54;2.946;51.457;17,47;---;---;---;13.449;61.574;4,58;99.371;369.459;3,72;24.887;98.843;3,97;240;2.040;8,5;1.355;25.450;18,79;1.689;13.342;7,9;---;---;---;7.322;104.992;14,34;1.290;8.990;6,97;1.830;16.702;9,13;---;---;---;6.956;32.695;4,7;62.457;248.163;3,97;10.670;48.605;4,56;855;5.283;6,18;1.286;38.511;29,94;1.587;18.202;11,47;---;---;---;4.393;85.645;19,5;329;2.586;7,87;1.908;15.224;7,98;---;---;---;9.716;43.444;4,47;107.419;407.485;3,79;12.053;55.210;4,58;2.250;12.000;5,33;1.536;42.745;27,83;1.433;14.693;10,26;18;2.290;127,2;8.679;172.655;19,89;257;2.943;11,47;1.976;16.276;8,24;---;---;---
Antigua;North America;Caribbean;---;---;---;900;3.487;3,87;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;90;2.038;22,65;---;---;---;45;263;5,84;---;---;---;---;---;---;860;3.252;3,78;---;---;---;---;---;---;23;390;17,34;---;---;---;---;---;---;113;1.904;16,93;---;---;---;90;464;5,15;---;---;---;---;---;---;819;3.174;3,87;---;---;---;---;---;---;90;2.040;22,67;---;---;---;---;---;---;68;1.488;22,05;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;9;72;8;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;450;1.830;4,07;---;---;---;---;---;---;---;---;---;23;180;8;---;---;---;158;2.954;18,76;---;---;---;23;139;6,19;---;---;---
Netherlands Antilles;North America;Caribbean;1.535;6.603;4,3;1.989;8.630;4,34;7.137;31.078;4,35;---;---;---;162;3.254;20,09;315;2.416;7,67;---;---;---;279;5.615;20,12;351;2.346;6,68;---;---;---;---;---;---;2.070;10.093;4,88;2.205;10.559;4,79;7.821;35.444;4,53;---;---;---;63;1.297;20,59;333;2.214;6,65;32;1.376;43,68;243;5.285;21,75;158;1.145;7,27;23;210;9,33;---;---;---;1.431;7.208;5,04;2.457;12.179;4,96;6.012;29.322;4,88;15;144;9,6;99;2.695;27,22;188;1.771;9,45;90;2.323;25,81;189;3.827;20,25;203;1.441;7,12;36;282;7,83;---;---;---;1.607;7.608;4,74;1.373;6.750;4,92;4.811;23.288;4,84;134;1.230;9,21;45;1.184;26,31;149;1.184;7,97;45;3.202;71,15;270;5.030;18,63;144;1.081;7,51;18;156;8,67;---;---;---;3.104;14.871;4,79;2.836;14.068;4,96;6.904;34.510;5;75;720;9,6;51;1.098;21,53;53;403;7,68;92;9.057;98,98;181;3.966;21,96;405;2.619;6,47;---;---;---;18;156;8,67
Argentina;South America;South America;932;3.395;3,64;225;1.099;4,88;3.591;12.679;3,53;---;---;---;---;---;---;518;3.175;6,14;---;---;---;360;5.033;13,98;293;2.218;7,58;45;350;7,78;---;---;---;500;1.789;3,58;536;2.398;4,48;693;2.624;3,79;---;---;---;86;1.003;11,74;1.251;8.586;6,86;---;---;---;495;9.626;19,45;297;2.378;8,01;45;361;8,01;---;---;---;---;---;---;416;2.048;4,93;227;1.175;5,19;---;---;---;18;444;24,67;137;1.168;8,51;18;343;19,06;115;1.740;15,16;227;1.175;5,19;---;---;---;---;---;---;---;---;---;1.910;8.112;4,25;977;3.906;4;---;---;---;18;774;43;464;3.819;8,24;---;---;---;325;5.549;17,07;392;3.293;8,41;---;---;---;---;---;---;945;3.358;3,55;675;3.665;5,43;2.547;9.320;3,66;---;---;---;41;2.900;71,61;1.350;10.048;7,44;---;---;---;212;5.890;27,85;95;662;7;45;358;7,95;---;---;---
Aruba;North America;Caribbean;14;65;4,78;---;---;---;225;1.000;4,44;---;---;---;14;270;20;---;---;---;---;---;---;45;825;18,33;---;---;---;9;70;7,78;---;---;---;23;108;4,78;270;1.200;4,44;90;400;4,44;---;---;---;9;105;11,67;---;---;---;---;---;---;14;420;31,11;---;---;---;23;175;7,78;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;225;1.050;4,67;225;1.000;4,44;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---
Australia;Oceania;Australia and New Zealand;1.026;5.850;5,7;3.939;20.304;5,15;2.325;12.598;5,42;---;---;---;2.364;82.246;34,79;3.605;33.918;9,41;663;10.664;16,08;1.151;23.546;20,45;12.312;53.059;4,31;180;1.627;9,04;---;---;---;45;210;4,67;3.988;16.630;4,17;6.374;27.389;4,3;5;6;1,33;3.914;104.902;26,8;4.931;46.555;9,44;50;1.672;33,78;3.890;75.071;19,3;6.677;34.736;5,2;90;768;8,53;---;---;---;972;5.164;5,31;1.467;7.067;4,82;2.381;13.218;5,55;---;---;---;1.594;77.258;48,48;2.628;24.880;9,47;257;2.678;10,44;2.219;51.441;23,19;10.832;54.413;5,02;180;1.536;8,53;---;---;---;1.656;7.319;4,42;2.322;10.796;4,65;2.561;11.189;4,37;797;4.950;6,21;3.280;119.258;36,36;1.305;12.216;9,36;1.348;20.892;15,5;1.491;25.549;17,14;8.643;46.554;5,39;509;3.083;6,06;---;---;---;861;4.395;5,11;9.836;64.895;6,6;1.680;8.834;5,26;3;30;10;4.196;128.526;30,63;4.251;41.477;9,76;605;10.598;17,53;4.650;90.031;19,36;3.989;35.506;8,9;905;7.647;8,45;---;---;---
