21 - Wine sales;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Period;;;2017;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Wine;;;Porto;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Type;;;Porto Branco;;;Porto Tawny;;;Porto Ruby;;;Porto Rosé;;;Porto Vintage;;;Porto LBV;;;Porto Colheitas;;;Porto com Indicação de Idade;;;Porto Reserva;;;Porto Reserva Tawny;;;Porto Crusted;;
country;continent;region;Litros;€;€/l;Litros;€;€/l;Litros;€;€/l;Litros;€;€/l;Litros;€;€/l;Litros;€;€/l;Litros;€;€/l;Litros;€;€/l;Litros;€;€/l;Litros;€;€/l;Litros;€;€/l
South Africa;Africa;Southern Africa;2.813;12.250;4,36;5.490;22.201;4,04;6.413;25.311;3,95;---;---;---;63;2.886;45,81;45;402;8,93;---;---;---;2.082;58.923;28,3;45;375;8,33;675;4.455;6,6;---;---;---
Germany;Europe;Western Europe;319.093;1.181.966;3,7;1.849.310;5.936.866;3,21;389.571;1.375.801;3,53;48.040;146.227;3,04;9.963;396.159;39,76;94.174;635.569;6,75;5.139;153.766;29,92;109.729;1.578.623;14,39;146.071;938.742;6,43;45.270;352.276;7,78;653;7.106;10,89
Andorra;Europe;Southern Europe;11.939;51.311;4,3;19.169;76.705;4;12.551;51.815;4,13;---;---;---;72;3.070;42,64;98;1.091;11,13;---;---;---;1.376;21.402;15,56;1.972;14.274;7,24;1.445;9.908;6,86;---;---;---
Angola;Africa;Middle Africa;2.290;11.054;4,83;7.586;36.094;4,76;2.970;15.029;5,06;90;493;5,48;161;7.252;45,19;201;2.197;10,91;---;---;---;2.012;52.121;25,9;356;2.712;7,63;207;1.942;9,38;---;---;---
Algeria;Africa;Northern Africa;---;---;---;900;4.640;5,16;900;4.640;5,16;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---
Argentina;South America;South America;81;521;6,43;977;4.614;4,73;585;2.472;4,23;42;391;9,3;9;116;12,93;90;776;8,62;---;---;---;374;13.236;35,44;189;1.382;7,31;270;1.757;6,51;---;---;---
Armenia;Asia;Western Asia;45;381;8,47;---;---;---;225;975;4,33;---;---;---;---;---;---;---;---;---;---;---;---;45;435;9,67;225;1.375;6,11;---;---;---;---;---;---
Aruba;North America;Caribbean;---;---;---;18;121;6,74;9;55;6,16;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---
Australia;Oceania;Australia and New Zealand;1.562;8.075;5,17;13.931;94.751;6,8;3.542;17.704;5;---;---;---;2.630;61.998;23,57;4.046;40.246;9,95;63;5.767;91,53;5.712;106.056;18,57;22.545;180.835;8,02;5.490;81.008;14,76;---;---;---
Austria;Europe;Western Europe;24.940;115.138;4,62;7.256;33.806;4,66;101.294;463.291;4,57;653;4.353;6,67;5.904;202.622;34,32;3.759;35.338;9,4;767;29.085;37,91;12.403;180.543;14,56;10.329;82.537;7,99;2.295;28.683;12,5;---;---;---
Azerbaijan;Asia;Western Asia;---;---;---;171;875;5,12;171;875;5,12;---;---;---;---;---;---;23;206;9,15;---;---;---;68;1.662;24,62;45;274;6,1;---;---;---;---;---;---
Belgium;Europe;Western Europe;1.544.077;5.477.115;3,55;1.889.207;7.286.238;3,86;3.135.507;10.917.404;3,48;64.722;257.217;3,97;4.627;111.162;24,03;41.153;336.726;8,18;4.721;111.364;23,59;227.306;2.609.108;11,48;107.792;820.317;7,61;106.914;698.302;6,53;---;---;---
Bahrain;Asia;Western Asia;95;630;6,67;95;630;6,67;140;930;6,67;---;---;---;---;---;---;113;975;8,67;---;---;---;90;1.320;14,67;---;---;---;---;---;---;---;---;---
Bermuda;North America;Caribbean;68;378;5,6;1.584;8.868;5,6;2.403;13.272;5,52;---;---;---;117;3.823;32,68;540;5.314;9,84;45;1.455;32,33;1.160;25.474;21,97;837;6.319;7,55;---;---;---;---;---;---
Belarus;Europe;Eastern Europe;4.023;17.651;4,39;5.648;25.243;4,47;8.397;38.505;4,59;---;---;---;563;10.825;19,25;293;4.111;14,05;---;---;---;761;12.777;16,8;977;6.689;6,85;203;1.485;7,33;---;---;---
Bolivia;South America;South America;45;229;5,08;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;23;315;13,98;---;---;---;180;1.485;8,25;---;---;---
Brazil;South America;South America;18.190;82.249;4,52;225.718;871.736;3,86;304.213;1.149.427;3,78;2.431;11.730;4,83;1.290;25.571;19,82;6.062;53.137;8,77;279;9.132;32,73;27.833;377.224;13,55;3.683;23.018;6,25;30.780;228.306;7,42;---;---;---
Bulgaria;Europe;Eastern Europe;738;3.984;5,4;1.103;6.364;5,77;1.872;10.688;5,71;---;---;---;41;1.008;24,89;311;2.642;8,51;5;647;143,73;437;9.068;20,77;59;420;7,18;185;2.449;13,27;---;---;---
Bosnia Herzegovina;Europe;Southern Europe;45;204;4,53;1.080;4.896;4,53;90;408;4,53;---;---;---;---;---;---;---;---;---;---;---;---;33;927;28,09;---;---;---;---;---;---;---;---;---
Cape Verde;Africa;Western Africa;242;1.572;6,49;1.130;5.238;4,64;599;2.646;4,42;---;---;---;---;---;---;---;---;---;---;---;---;58;1.021;17,67;62;525;8,42;90;753;8,37;---;---;---
Canada;North America;Northern America;137.030;741.287;5,41;154.863;805.295;5,2;89.192;590.192;6,62;2.900;26.301;9,07;11.245;349.243;31,06;314.109;2.276.806;7,25;26.238;864.572;32,95;316.523;5.041.525;15,93;117.646;749.068;6,37;114.210;778.052;6,81;216;2.781;12,87
Qatar;Asia;Western Asia;405;2.250;5,56;2.439;10.569;4,33;2.565;11.115;4,33;---;---;---;---;---;---;486;4.428;9,11;---;---;---;216;3.816;17,67;---;---;---;---;---;---;---;---;---
Cayman;North America;Caribbean;---;---;---;---;---;---;864;4.470;5,17;---;---;---;54;1.561;28,91;180;1.459;8,11;---;---;---;355;10.446;29,45;180;1.261;7;---;---;---;---;---;---
Kazakhstan;Asia;Central Asia;563;2.295;4,08;815;3.443;4,23;837;3.545;4,24;---;---;---;5;126;28;---;---;---;---;---;---;27;642;23,78;59;378;6,46;---;---;---;---;---;---
Chile;South America;South America;185;1.267;6,87;549;2.543;4,63;360;1.320;3,67;90;765;8,5;6;528;88;2.592;19.229;7,42;9;300;33,33;473;7.330;15,51;473;2.727;5,77;23;360;16;---;---;---
China;Asia;Eastern Asia;21.351;102.697;4,81;63.579;284.944;4,48;62.904;282.294;4,49;4.697;29.033;6,18;1.677;60.918;36,32;9.000;74.322;8,26;2.714;95.888;35,33;17.728;316.613;17,86;19.860;143.465;7,22;2.207;19.151;8,68;---;---;---
Cyprus;Asia;Western Asia;---;---;---;630;3.250;5,16;2.400;10.557;4,4;---;---;---;24;524;21,83;290;2.635;9,08;7;600;88,89;90;2.206;24,51;3.039;16.740;5,51;45;720;16;---;---;---
Colombia;South America;South America;1;0;---;964;4.881;5,06;554;2.475;4,47;1;0;---;---;---;---;450;4.710;10,47;---;---;---;91;2.721;29,98;1.328;10.701;8,06;45;375;8,33;---;---;---
Congo;Africa;Middle Africa;---;---;---;113;571;5,08;482;2.591;5,38;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---
South Korea;Asia;Eastern Asia;3.803;19.927;5,24;11.070;52.850;4,77;18.230;78.004;4,28;---;---;---;356;15.551;43,74;2.250;22.232;9,88;104;6.345;61,3;12.224;201.530;16,49;3.789;29.949;7,9;450;7.200;16;---;---;---
