wine;year;Lower Corgo;Upper Corgo;Upper Douro;Outside Douro Region;All Regions
Douro Wine DOC;2017;21.863.143;19.289.114;9.813.674;540.575;51.506.506
Sparkling;2017;9.000;23.196;4.500;;36.696
Douro Wine not DOC;2017;164.048;909.145;85.241;;1.158.434
Moscatel;2017;74.479;3.416.957;38.991;;3.530.427
Table Wine;2017;2.918.515;3.154.792;380.656;60.920;6.514.883
Port;2017;31.231.215;39.537.276;10.868.771;;81.637.262
TOTAL;2017;56.260.400;66.330.480;21.191.833;601.495;144.384.208
Douro Wine DOC;2016;14.068.462;19.125.183;8.963.795;424.583;42.582.023
Sparkling;2016;33.500;7.050;31.300;;71.850
Douro Wine not DOC;2016;115.873;599.447;65.693;;781.013
Moscatel;2016;133.000;3.141.666;63.622;;3.338.288
Table Wine;2016;1.942.059;3.440.852;529.726;79.211;5.991.848
Port;2016;29.545.686;40.094.220;10.876.786;;80.516.692
TOTAL;2016;45.838.580;66.408.418;20.530.922;503.794;133.281.714
Douro Wine DOC;2015;21.705.268;25.339.429;12.264.473;823.129;60.132.299
Sparkling;2015;100.576;59.268;11.545;;171.389
Douro Wine not DOC;2015;714.338;1.411.046;149.889;;2.275.273
Moscatel;2015;89.564;2.970.727;59.581;;3.119.872
Table Wine;2015;8.742.311;7.685.535;942.017;98.333;17.468.196
Port;2015;29.138.017;37.934.972;10.437.312;;77.510.301
TOTAL;2015;60.490.074;75.400.977;23.864.817;921.462;160.677.330
Douro Wine DOC;2014;15.244.922;19.911.769;10.438.992;470.138;46.065.821
Sparkling;2014;129.294;42.533;19.600;;191.427
Douro Wine not DOC;2014;51.837;1.216.230;152.521;;1.420.588
Moscatel;2014;79.590;2.828.618;43.082;;2.951.290
Table Wine;2014;5.627.735;9.018.274;1.657.257;168.075;16.471.341
Port;2014;27.253.920;35.507.808;10.550.565;;73.312.293
TOTAL;2014;48.387.298;68.525.232;22.862.017;638.213;140.412.760
Douro Wine DOC;2013;19.216.296;21.235.709;9.590.584;434.338;50.476.927
Sparkling;2013;108.822;129.422;9.650;;247.894
Douro Wine not DOC;2013;796.562;2.987.702;478.828;;4.263.092
Moscatel;2013;136.031;1.502.081;16.653;;1.654.765
Table Wine;2013;9.098.984;13.751.852;2.906.883;141.288;25.899.007
Port;2013;24.979.556;34.709.223;9.413.971;;69.102.750
TOTAL;2013;54.336.251;74.315.989;22.416.569;575.626;151.644.435
Douro Wine DOC;2012;14.754.834;18.295.657;7.043.334;288.663;40.382.488
Sparkling;2012;119.744;140.903;;;260.647
Douro Wine not DOC;2012;1.108.106;180.131;170.298;;1.458.535
Moscatel;2012;23.250;1.687.920;21.672;;1.732.842
Table Wine;2012;11.732.434;8.808.894;1.692.785;189.612;22.423.725
Port;2012;24.895.964;34.591.722;7.982.121;;67.469.807
TOTAL;2012;52.634.332;63.705.227;16.910.210;478.275;133.728.044
Douro Wine DOC;2011;12.418.978;21.978.666;7.197.518;354.996;41.950.158
Sparkling;2011;150.789;164.500;7.200;;322.489
Douro Wine not DOC;2011;1.090.771;1.248.358;149.435;;2.488.564
Moscatel;2011;106.599;3.660.804;10.074;;3.777.477
Table Wine;2011;10.124.591;10.726.088;3.327.518;255.700;24.433.897
Port;2011;19.492.542;32.687.758;6.864.334;;59.044.634
TOTAL;2011;43.384.270;70.466.174;17.556.079;610.696;132.017.219
Douro Wine DOC;2010;16.848.615;23.678.441;9.259.695;620.240;50.406.991
Sparkling;2010;68.323;119.172;8.000;;195.495
Douro Wine not DOC;2010;2.114.903;2.705.544;158.718;;4.979.165
Moscatel;2010;52.597;4.490.076;9.824;;4.552.497
Table Wine;2010;13.745.246;10.635.393;2.286.403;281.478;26.948.520
Port;2010;28.064.843;37.977.601;11.135.357;;77.177.801
TOTAL;2010;60.894.527;79.606.227;22.857.997;901.718;164.260.469
Douro Wine DOC;2009;12.869.273;15.265.792;5.986.689;756.602;34.878.356
Sparkling;2009;139.615;88.790;5.500;;233.905
Douro Wine not DOC;2009;727.745;1.793.856;159.992;;2.681.593
Moscatel;2009;51.330;3.964.928;59.340;;4.075.598
Table Wine;2009;7.736.130;4.677.377;803.870;175.193;13.392.570
Port;2009;31.097.235;36.621.565;9.653.096;;77.371.896
TOTAL;2009;52.621.328;62.412.308;16.668.487;931.795;132.633.918
Douro Wine DOC;2008;9.816.817;15.201.911;7.360.282;611.830;32.990.840
Sparkling;2008;74.140;91.874;2.800;;168.814
Douro Wine not DOC;2008;1.377.559;1.519.184;654.986;;3.551.729
Moscatel;2008;42.471;2.958.299;12.265;;3.013.035
Table Wine;2008;5.386.478;3.952.526;959.160;182.152;10.480.316
Port;2008;33.837.394;42.915.247;10.433.771;;87.186.412
TOTAL;2008;50.534.859;66.639.041;19.423.264;793.982;137.391.146
