21 - Vendas de vinhos;;;;;;;;;;;;
Período;2017;;;;;;;;;;;
Vinho;Porto;;;;;;;;;;;
Tipo;Porto Branco;;;Porto Tawny;;;Porto Ruby;;;Porto Rosé;;
country;Litros;€;€/l;Litros;€;€/l;Litros;€;€/l;Litros;€;€/l
Germany;319.093;1.181.966;3,7;1.849.310;5.936.866;3,21;389.571;1.375.801;3,53;48.040;146.227;3,04
Belgium;1.544.077;5.477.115;3,55;1.889.207;7.286.238;3,86;3.135.507;10.917.404;3,48;64.722;257.217;3,97
Canada;137.030;741.287;5,41;154.863;805.295;5,2;89.192;590.192;6,62;2.900;26.301;9,07
Denmark;153.645;606.180;3,95;347.922;1.336.263;3,84;182.161;748.621;4,11;17.453;108.586;6,22
Spain;109.219;477.541;4,37;605.968;2.425.113;4;276.991;1.093.852;3,95;5.472;22.288;4,07
USA;70.754;384.014;5,43;678.453;3.492.631;5,15;772.248;3.901.581;5,05;5.440;36.555;6,72
France;2.980.848;10.074.976;3,38;12.817.329;42.822.196;3,34;1.267.633;4.581.121;3,61;255.097;905.068;3,55
Netherlands;1.713.741;5.394.402;3,15;1.992.437;7.171.611;3,6;5.809.471;18.716.231;3,22;82.589;331.279;4,01
Portugal;2.586.986;12.077.264;4,67;5.998.708;24.980.850;4,16;1.526.441;6.858.212;4,49;127.043;620.451;4,88
United Kingdom;122.617;620.372;5,06;404.052;1.435.408;3,55;2.969.531;9.907.701;3,34;55.213;283.241;5,13
Total;9.738.010;37.035.115;3,8;26.738.248;97.692.470;3,65;16.418.745;58.690.715;3,57;663.967;2.737.214;4,12
