21 - Vendas de vinhos;;;;;;;;;;;;;;;;;;;;;
Período;2017;;;;;;;;;;;;;;;;;;;;
Vinho;Porto;;;;;;;;;;;;;;;;;;;;
Tipo;Porto Vintage;;;Porto LBV;;;Porto Colheitas;;;Porto com Indicação de Idade;;;Porto Reserva;;;Porto Reserva Tawny;;;Porto Crusted;;
country;Litros;€;€/l;Litros;€;€/l;Litros;€;€/l;Litros;€;€/l;Litros;€;€/l;Litros;€;€/l;Litros;€;€/l
Germany;9.963;396.159;39,76;94.174;635.569;6,75;5.139;153.766;29,92;109.729;1.578.623;14,39;146.071;938.742;6,43;45.270;352.276;7,78;653;7.106;10,89
Belgium;4.627;111.162;24,03;41.153;336.726;8,18;4.721;111.364;23,59;227.306;2.609.108;11,48;107.792;820.317;7,61;106.914;698.302;6,53;0;0;0
Canada;11.245;349.243;31,06;314.109;2.276.806;7,25;26.238;864.572;32,95;316.523;5.041.525;15,93;117.646;749.068;6,37;114.210;778.052;6,81;216;2.781;12,87
Denmark;111.938;2.418.253;21,6;230.271;1.776.032;7,71;118.514;1.935.125;16,33;186.336;2.954.548;15,86;95.905;616.559;6,43;106.890;879.978;8,23;5.652;48.426;8,57
Spain;1.801;56.880;31,59;24.903;168.308;6,76;477;17.454;36,57;26.987;346.439;12,84;32.417;170.314;5,25;16.680;236.435;14,17;50;585;11,64
USA;52.315;1.311.238;25,06;306.775;2.662.880;8,68;19.471;795.646;40,86;791.593;13.392.136;16,92;863.488;6.714.107;7,78;91.628;765.533;8,35;1.062;9.514;8,96
France;23.399;423.692;18,11;81.951;628.312;7,67;37.821;516.345;13,65;909.040;7.327.722;8,06;201.298;1.430.499;7,11;373.701;2.217.256;5,93;432;5.058;11,71
Netherlands;19.913;426.148;21,4;127.151;983.647;7,74;46.392;742.251;16;573.833;6.101.331;10,63;257.623;1.536.997;5,97;93.217;712.245;7,64;158;2.170;13,71
Portugal;143.748;3.712.184;25,82;369.586;3.104.132;8,4;81.493;1.927.530;23,65;991.326;14.455.704;14,58;373.521;2.214.879;5,93;493.398;3.723.774;7,55;3.194;35.061;10,98
United Kingdom;202.311;3.279.709;16,21;1.128.879;7.152.020;6,34;43.321;1.370.877;31,64;430.939;7.221.193;16,76;3.636.617;17.225.307;4,74;65.204;617.383;9,47;48.758;407.106;8,35
Total;581.259;12.484.668;21,48;2.718.951;19.724.432;7,25;383.587;8.434.930;21,99;4.563.612;61.028.330;13,37;5.832.378;32.416.789;5,56;1.507.112;10.981.233;7,29;60.176;517.807;8,6
