"","Country","Porto","sales.euro","preço.litro","percent.euro"
"1","Alemanha","Vintage",458517,"29,89",14.07
"2","Alemanha","LBV",785714,"6,31",24.11
"3","Alemanha","Colheitas",90566,"23,39",2.78
"4","Alemanha","Indicação de Idade",887671,"13,09",27.24
"5","Alemanha","Reserva",508515,"6,07",15.61
"6","Alemanha","Reserva Tawny",525772,"5,17",16.14
"7","Alemanha","Crusted",1679,"8,61",0.05
"8","Bélgica","Vintage",193932,"35,42",3.45
"9","Bélgica","LBV",418549,"8,16",7.45
"10","Bélgica","Colheitas",125358,"19,14",2.23
"11","Bélgica","Indicação de Idade",2765513,"8,4",49.21
"12","Bélgica","Reserva",568016,"5,73",10.11
"13","Bélgica","Reserva Tawny",1548226,"9,62",27.55
"14","Canadá","Vintage",1245547,"29,2",9.75
"15","Canadá","LBV",2654346,"7,28",20.78
"16","Canadá","Colheitas",766406,"26,84",6
"17","Canadá","Indicação de Idade",6434351,"15,76",50.38
"18","Canadá","Reserva",840020,"6,24",6.58
"19","Canadá","Reserva Tawny",828522,"5,96",6.49
"20","Canadá","Crusted",2388,"7,27",0.02
"21","Dinamarca","Vintage",1406547,"18,13",30.43
"22","Dinamarca","LBV",868188,"7,38",18.78
"23","Dinamarca","Colheitas",638133,"12,83",13.8
"24","Dinamarca","Indicação de Idade",946170,"13,18",20.47
"25","Dinamarca","Reserva",479059,"7,23",10.36
"26","Dinamarca","Reserva Tawny",283644,"8,29",6.14
"27","Dinamarca","Crusted",783,"8,7",0.02
"28","Espanha","Vintage",27483,"17,74",3.68
"29","Espanha","LBV",99505,"7,06",13.32
"30","Espanha","Colheitas",10804,"36,01",1.45
"31","Espanha","Indicação de Idade",445842,"10,74",59.68
"32","Espanha","Reserva",106337,"5,22",14.23
"33","Espanha","Reserva Tawny",57100,"6,91",7.64
"34","EUA","Vintage",4332568,"25,14",18.74
"35","EUA","LBV",2008231,"7,3",8.69
"36","EUA","Colheitas",482221,"32,74",2.09
"37","EUA","Indicação de Idade",10143128,"14,35",43.87
"38","EUA","Reserva",5946024,"6,64",25.72
"39","EUA","Reserva Tawny",194669,"7,1",0.84
"40","EUA","Crusted",13190,"7,73",0.06
"41","França","Vintage",1068745,"21,63",7.7
"42","França","LBV",435879,"8,12",3.14
"43","França","Colheitas",379207,"12,73",2.73
"44","França","Indicação de Idade",8395068,"7,74",60.46
"45","França","Reserva",1782229,"5,74",12.84
"46","França","Reserva Tawny",1822400,"5,79",13.13
"47","França","Crusted",1104,"12,27",0.01
"48","Holanda","Vintage",835735,"17,16",8.89
"49","Holanda","LBV",973456,"7,48",10.36
"50","Holanda","Colheitas",801503,"13,42",8.53
"51","Holanda","Indicação de Idade",4981497,"9,74",53.02
"52","Holanda","Reserva",1436364,"5,73",15.29
"53","Holanda","Reserva Tawny",365380,"7,09",3.89
"54","Holanda","Crusted",1656,"12,27",0.02
"55","Portugal","Vintage",3648210,"25,42",17.17
"56","Portugal","LBV",2315680,"8,56",10.9
"57","Portugal","Colheitas",1658870,"31,02",7.81
"58","Portugal","Indicação de Idade",9080503,"14,13",42.73
"59","Portugal","Reserva",1528143,"6,54",7.19
"60","Portugal","Reserva Tawny",3005663,"7,17",14.14
"61","Portugal","Crusted",12662,"8,74",0.06
"62","Reino Unido","Vintage",6790731,"20,73",18.4
"63","Reino Unido","LBV",7148171,"6,17",19.37
"64","Reino Unido","Colheitas",448395,"22,15",1.21
"65","Reino Unido","Indicação de Idade",4894859,"13,39",13.26
"66","Reino Unido","Reserva",16916223,"4,18",45.83
"67","Reino Unido","Reserva Tawny",166998,"7,88",0.45
"68","Reino Unido","Crusted",545795,"8,68",1.48
"69","TOTAIS","Vintage",20008016,"22,63",15.21
"70","TOTAIS","LBV",17707719,"6,92",13.46
"71","TOTAIS","Colheitas",5401462,"20,23",4.11
"72","TOTAIS","Indicação de Idade",48974602,"11,58",37.22
"73","TOTAIS","Reserva",30110929,"4,9",22.88
"74","TOTAIS","Reserva Tawny",8798374,"6,88",6.69
"75","TOTAIS","Crusted",579257,"8,66",0.44
