"country","wine","percent"
"Germany","white","7.6"
"Belgium","white","22.2"
"Canada","white","5"
"Denmark","white","7.4"
"Spain","white","9.1"
"US","white","1.2"
"France","white","13.5"
"Holland","white","9.9"
"Portugal","white","16"
"UK","white","0.83"
"Total","white","10.5"
"Germany","Tawny","54"
"Belgium","Tawny","25.5"
"Canada","Tawny","6.3"
"Denmark","Tawny","15.3"
"Spain","Tawny","53.2"
"US","Tawny","10.25"
"France","Tawny","59.5"
"Holland","Tawny","15.6"
"Portugal","Tawny","36"
"UK","Tawny","2.4"
"Total","Tawny","29.6"
"Germany","Ruby","11.6"
"Belgium","Ruby","34.5"
"Canada","Ruby","3.7"
"Denmark","Ruby","11.7"
"Spain","Ruby","21"
"US","Ruby","10.6"
"France","Ruby","7.5"
"Holland","Ruby","50.7"
"Portugal","Ruby","7.7"
"UK","Ruby","22.3"
"Total","Ruby","18.6"
"Germany","Rosé","0.55"
"Belgium","Rosé","0.58"
"Canada","Rosé","0.16"
"Denmark","Rosé","0.9"
"Spain","Rosé","0.4"
"US","Rosé","0.01"
"France","Rosé","1.9"
"Holland","Rosé","1.5"
"Portugal","Rosé","0.83"
"UK","Rosé","0.37"
"Total","Rosé","0.96"
