"","Country","2006 €","2013 €","Change %"
"1","Catar",3917,203277,98.07
"2","Liechtenstein",780,30200,97.42
"3","Cazaquistão",3437,56874,93.96
"4","China",114891,1880886,93.89
"5","Eslováquia",7391,61040,87.89
"6","Austrália",111590,890186,87.46
"7","Lituania",33131,200400,83.47
"8","Ucrania",28569,170433,83.24
"9","Turquia",8059,47202,82.93
"10","Emir. Arabes Unidos",120854,672479,82.03
"11","Roménia",13158,68391,80.76
"12","Chile",6469,32301,79.97
"13","Polónia",579848,2392509,75.76
"14","Bulgária",9328,35558,73.77
"15","Trinidad/Ind.Ociden.",25702,96895,73.47
"16","Macau",241787,910808,73.45
"17","Russia",768464,2480933,69.03
"18","Nigéria",352,1124,68.68
"19","Filipinas",8845,28076,68.5
"20","Letónia",140016,405214,65.45
"21","Eslóvenia",10003,28803,65.27
"22","Uruguai",52542,151300,65.27
"23","Guadeloupe",4817,13102,63.23
"24","Angola",395308,1069291,63.03
"25","Guatemala",5640,14574,61.3
"26","Hong Kong",354309,871849,59.36
"27","Bahrein",1372,3192,57.02
"28","Republica Dominicana",22004,48829,54.94
"29","Moçambique",44515,97636,54.41
"30","Coreia do Sul",57725,126417,54.34
"31","Cabo Verde",14926,29981,50.22
"32","Taiwan",101867,204652,50.22
"33","Camboja",980,1935,49.35
"34","Estónia",76215,146500,47.98
"35","Paraguai",63176,116147,45.61
"36","Cuba",3493,6106,42.79
"37","Suécia",1937050,3374551,42.6
"38","S. Tomé e Príncipe",216,350,38.29
"39","Singapura",470925,749657,37.18
"40","Ghana",1397,2196,36.38
"41","Colómbia",27075,39309,31.12
"42","Equador",36402,47762,23.78
"43","Antilhas Holandesas",57067,71914,20.65
"44","Austria",664115,834053,20.37
"45","Timor",8333,10367,19.62
"46","Finlandia",884021,1076586,17.89
"47","Marrocos",21033,25291,16.84
"48","Alemanha",10574475,12402285,14.74
"49","Noruega",1069832,1235967,13.44
"50","Peru",9360,10744,12.88
"51","Vietnam",11042,12340,10.52
"52","Brasil",3433554,3788789,9.38
"53","Islandia",138736,149520,7.21
"54","Nova Zelândia",629570,676030,6.87
"55","Chipre",28171,28977,2.78
"56","Dinamarca",6973153,7148362,2.45
"57","Reino Unido",49376241,49802324,0.86
"58","Ilhas Maurícias",4176,4041,-3.34
"59","Japão",1636502,1551889,-5.45
"60","TOTAIS",392815430,365019794,-7.61
"61","França",85399991,78891216,-8.25
"62","Libano",3832,3477,-10.21
"63","Canadá",16781766,15068851,-11.37
"64","Cayman",44932,39976,-12.4
"65","México",962347,855325,-12.51
"66","Holanda",47800558,42209138,-13.25
"67","Congo",5242,4579,-14.48
"68","Suiça",4105826,3578048,-14.75
"69","EUA",34431275,29664646,-16.07
"70","Portugal",63304299,53998094,-17.23
"71","Luxemburgo",1152033,979947,-17.56
"72","Argentina",27302,22058,-23.77
"73","Bélgica",40652850,32593732,-24.73
"74","Espanha",5862014,4567508,-28.34
"75","Malta",136924,105192,-30.17
"76","Suazilandia",8568,6563,-30.55
"77","Tailândia",44227,33693,-31.26
"78","Israel",50235,35522,-41.42
"79","Bermudas",107369,75618,-41.99
"80","Costa Rica",24673,17344,-42.26
"81","Itália",4019537,2622050,-53.3
"82","Costa do Marfim",71811,45023,-59.5
"83","Croácia",8543,5151,-65.85
"84","República Checa",1136286,673692,-68.67
"85","Andorra",489757,282684,-73.25
"86","Panamá",42938,22364,-92
"87","Gibraltar",33248,17225,-93.02
"88","Irlanda",2758822,1425161,-93.58
"89","India",35779,16144,-121.62
"90","Malásia",118467,52145,-127.19
"91","Hungria",154470,63217,-144.35
"92","Africa do Sul",129275,48320,-167.54
"93","Venezuela",643586,182009,-253.6
"94","Grécia",573952,107593,-433.45
"95","Antígua",7774,1448,-436.88
"96","Bahamas",21943,3779,-480.66
