"","year","region","wine","litres"
"2","2013","Lower Corgo","Douro DOC","19216296"
"3","2013","Lower Corgo","Sparkling","108822"
"4","2013","Lower Corgo","Douro Not DOC","796562"
"5","2013","Lower Corgo","Moscatel","136031"
"6","2013","Lower Corgo","Table Wine","9098984"
"7","2013","Lower Corgo","Port Wine","24979556"
"8","2013","Lower Corgo","All Wines","54336251"
"9","2013","Upper Corgo","Douro DOC","21235709"
"10","2013","Upper Corgo","Sparkling","129422"
"11","2013","Upper Corgo","Douro Not DOC","2987702"
"12","2013","Upper Corgo","Moscatel","1502081"
"13","2013","Upper Corgo","Table Wine","13751852"
"14","2013","Upper Corgo","Port Wine","34709223"
"15","2013","Upper Corgo","All Wines","74315989"
"16","2013","Douro Superior","Douro DOC","9590584"
"17","2013","Douro Superior","Sparkling","9650"
"18","2013","Douro Superior","Douro Not DOC","478828"
"19","2013","Douro Superior","Moscatel","16653"
"20","2013","Douro Superior","Table Wine","2906883"
"21","2013","Douro Superior","Port Wine","9413971"
"22","2013","Douro Superior","All Wines","22416569"
"23","2013","Outside Douro","Douro DOC","434338"
"24","2013","Outside Douro","Sparkling",NA
"25","2013","Outside Douro","Douro Not DOC",NA
"26","2013","Outside Douro","Moscatel",NA
"27","2013","Outside Douro","Table Wine","141288"
"28","2013","Outside Douro","Port Wine",NA
"29","2013","Outside Douro","All Wines","575626"
"30","2013","All Wines Regions","Douro DOC","50476927"
"31","2013","All Wines Regions","Sparkling","247894"
"32","2013","All Wines Regions","Douro Not DOC","4263092"
"33","2013","All Wines Regions","Moscatel","1654765"
"34","2013","All Wines Regions","Table Wine","25899007"
"35","2013","All Wines Regions","Port Wine","69102750"
"36","2013","All Wines Regions","All Wines","151644435"
"37","2012","Lower Corgo","Douro DOC","14754834"
"38","2012","Lower Corgo","Sparkling","119744"
"39","2012","Lower Corgo","Douro Not DOC","1108106"
"40","2012","Lower Corgo","Moscatel","23250"
"41","2012","Lower Corgo","Table Wine","11732434"
"42","2012","Lower Corgo","Port Wine","24895964"
"43","2012","Lower Corgo","All Wines","52634332"
"44","2012","Upper Corgo","Douro DOC","18295657"
"45","2012","Upper Corgo","Sparkling","140903"
"46","2012","Upper Corgo","Douro Not DOC","180131"
"47","2012","Upper Corgo","Moscatel","1687920"
"48","2012","Upper Corgo","Table Wine","8808894"
