"","country","cases"
"1","ARGE",544
"2","AUSL",595
"3","AUST",230
"4","BELG",304
"5","BRAS",83
"6","CANA",117
"7","CHIL",65
"8","CZEC",466
"9","DENM",35
"10","EIRE",58
"11","FINL",85
"12","FRAN",2
"13","GREE",152
"14","HONG",114
"15","HUNG",105
"16","INDI",228
"17","ISRA",114
"18","ITAL",3437
"19","JAPA",9
"20","NETH",728
"21","NEW",453
"22","NORW",526
"23","POLA",759
"24","PORT",415
"25","ROMA",18
"26","SING",140
"27","SLOK",86
"28","SLOV",53
"29","SOUT",69
"30","SPAI",478
"31","SRI",20
"32","SWED",634
"33","SWIT",1631
"34","TURK",286
"35","UK",6239
"36","USA",131
